seq,guid,seq,seq,ccnumber,date,sentence
0,53ed9ee1-fdb5-4c0f-ae4d-1cb677dd1426,0,0,5312694155809251,01/17/1981,Paper stay floor attack create really role now follow send he.
1,57970f85-8103-4279-ac1a-c385e3bda4cd,1,1,5137148073838913,10/01/1989,Father point million age trial force technology important.
2,2cd5c326-121b-49dd-aae8-19776e864d8a,2,2,3936813748035913,09/13/1991,Commercial modern book attorney base laugh specific pull here media last expect offer real gun mother arm economic region.
3,5bffb6b6-2c6b-4ae6-91eb-615a2318afce,3,3,6098521729397711,12/29/1987,Bad forward language reduce character rather art few hundred.
4,19ae9f7d-d14b-4754-95e1-1462209491e4,4,4,5238435054815592,09/14/2015,Half since standard cold forget quality foot probably little population teacher opportunity practice financial show part drop particular still smile employee all if life consumer science.
5,d0ae3603-4797-4b3c-9df0-d86ce356ad0b,5,5,4597425152763676,03/14/1980,Remain pick send it involve cultural quality music cover ahead seem office election.
6,2787c7d2-9e00-4e07-a35d-022d9c5af8ed,6,6,2464571984708150,11/15/1998,Sense organization open third high network so morning cup participant clearly left wait sea follow walk child real.
7,16850cb9-8aa8-44a2-ba10-3e1bb2bf783e,7,7,9561440046826923,09/26/1974,Tough good book begin perform its account cup do role among field.
8,0c8902c7-823c-42bb-a5ee-1daf011c6a78,8,8,5423107419723706,03/23/1990,Most program benefit begin billion turn cultural main of.
9,f7f048d5-756d-4b5d-a1da-128c2f38c742,9,9,2823111878560555,04/12/1991,Reduce west run approach mother mother out finish difficult treat Democrat strategy law throw coach current I.
10,badb96ea-e740-4ec2-a503-0285d1824fef,10,10,7759203097099806,02/07/2012,Usually property likely western movement together happy wall past.
11,db64aa15-68ec-40b9-8581-d9e3a3e1b584,11,11,5015426038521372,10/10/2018,Local simple rock hotel happen heavy last give yard listen part you will data represent.
