seq,guid,seq,seq,ccnumber,date,sentence
1,e25d9c0e-bb57-4491-b12f-70f35751a1e4,1,1,1497564085280125,01/24/1993,Take light reason pressure worry learn tree clearly within agency which man baby glass determine on society help back opportunity third.
2,0735646d-880f-43cb-b910-a3375da47762,2,2,4193032345602085,03/14/2011,Own agent instead modern argue speak generation my.
3,838eb73f-2c3f-4fb0-baaa-5dfb2d14a9fd,3,3,3093369065867990,10/27/1977,Upon care recent standard event tonight assume.
4,b9bc9234-0243-4dee-b4aa-85e8bc99dc0c,4,4,7982755222627268,10/23/2008,Surface what environmental risk down despite hotel action enjoy report from third box section.
5,6f885284-9e4c-467d-952e-e2c6e1b1c515,5,5,5317943704587920,02/09/1980,Finish focus food sing trip attention next leader population.
6,de6ec1da-19a6-4be4-b48b-a71d0cb6ab8a,6,6,8196964874280145,05/01/1987,They institution structure truth relationship quite hospital to investment pay alone skill leg its bag much.
7,7a06f0c6-96de-4976-8feb-1423e96380d3,7,7,5703810346028142,06/29/1986,Director forget find least lose some people always nearly.
8,073d2b6b-2da6-42c5-8523-dd9b376742f3,8,8,1108629969952609,07/26/2016,Friend concern out difference girl throw she wear question especially.
9,7e189a45-592b-446d-b96e-177d508c4cc0,9,9,1741781054361270,06/26/2018,Before scene firm institution then choice meet only.
10,e4e6a542-ad9f-49d5-b610-c57b830a031c,10,10,5697193917028784,04/12/2000,My thank view strong quite instead site somebody money hear.
11,8713c08b-e8a0-4466-b0ea-b0c9ec1e558e,11,11,8322207196613223,11/09/1996,Something beat development stand some campaign arrive show right kind attorney later down usually.
12,77a37880-6bc9-4da0-a8ba-b9383e268b5d,12,12,5523649082813567,08/23/2006,Scene team key understand shoulder under professor Republican TV the or of government there pull magazine almost lay knowledge.
13,ec9c4422-8843-4757-85d2-3b4b323feb63,13,13,1077338406137713,10/13/2015,Once home guess change herself among somebody.
14,7b605456-bd07-470e-96af-f2969e3b6823,14,14,1086836929310849,01/05/2015,That marriage mind management certain final little have perform newspaper despite sell total way oil become.
15,eb60ae41-0151-48e0-b9cb-d4b8aa27f8de,15,15,6133342369985098,12/13/1974,Staff gas brother customer pass within bank clearly then music strong pressure finish item stage trouble cost thought politics themselves film clear describe enjoy.
